mun,ano,rf_veiculo,rf,homicidio_doloso,lcd,estupro,id_municipio,pop,gm,gm_ano,tx_rf_veiculo,tx_rf,tx_homicidio_doloso,tx_lcd,tx_estupro,pre_treated,treat
Campinas,2001,14,25,542,4,132,3509502,982977,1,1991,1.4242449212952084,2.543294502312872,55.138624810143064,0.4069271203700595,13.428594972211965,1,0
Campo Limpo Paulista,2001,162,688,13,284,4,3509601,65956,1,1965,245.6182909818667,1043.1196555279278,19.710109770149796,430.59009036327245,6.064649160046091,1,0
Campos do Jordão,2001,55,893,3,255,7,3509700,45110,1,1985,121.9241853247617,1979.6054090002217,6.6504101086233645,565.284859232986,15.51762358678785,1,0
Campos Novos Paulista,2001,1,8,1,23,0,3509809,4199,0,NA,23.815194093831863,190.5215527506549,23.815194093831863,547.7494641581329,0,0,0
Cananéia,2001,3,188,1,95,1,3509908,12472,0,NA,24.053880692751765,1507.3765234124437,8.017960230917254,761.7062219371392,8.017960230917254,0,0
Canas,2001,0,0,0,0,0,3509957,3689,0,NA,0,0,0,0,0,0,0
Cândido Mota,2001,7,341,2,93,0,3510005,29752,0,NA,23.52783006184458,1146.1414358698576,6.7222371605270235,312.58402796450656,0,0,0
Cândido Rodrigues,2001,1,12,0,15,0,3510104,2646,0,NA,37.79289493575208,453.51473922902494,0,566.8934240362812,0,0,0
Canitar,2001,0,27,1,32,0,3510153,3607,0,NA,0,748.5444968117549,27.72387025228722,887.163848073191,0,0,0
Capão Bonito,2001,6,787,4,308,3,3510203,46750,0,NA,12.834224598930481,1683.422459893048,8.556149732620321,658.8235294117648,6.4171122994652405,0,0
Capela do Alto,2001,24,142,0,107,1,3510302,14374,1,2007,166.96813691387229,987.8948100737443,0,744.3996104076805,6.957005704744677,0,0
Capivari,2001,141,590,7,255,1,3510401,42324,1,1968,333.1443152821094,1394.0081277762026,16.53907948209054,602.4950382761554,2.3627256402986485,1,0
Caraguatatuba,2001,244,414,28,728,16,3510500,82023,0,NA,297.47753678846175,504.7364763541933,34.13676651670873,887.555929434427,19.50672372383356,0,0
Carapicuíba,2001,1184,3,195,1,47,3510609,351041,1,2009,337.2825396463661,0.8546010295093736,55.549066918109276,0.28486700983645785,13.38874946231352,0,0
