id_municipio,ano,pop
3504701,2014,4629
3504701,2015,4819
3504701,2016,5006
3504701,2017,5188
3504701,2018,5532
3504701,2019,5735
3504701,2020,5934
3504800,2001,7378
3504800,2002,7460
3504800,2003,7515
3504800,2004,7632
3504800,2005,7696
3504800,2006,7761
3504800,2007,7767
3504800,2008,8151
3504800,2009,8227
3504800,2010,8160
3504800,2011,8223
3504800,2012,8284
3504800,2013,8631
3504800,2014,8703
3504800,2015,8773
3504800,2016,8841
3504800,2017,8908
3504800,2018,8994
3504800,2019,9068
3504800,2020,9139
3504909,2001,9788
3504909,2002,9847
3504909,2003,9910
3504909,2004,10041
3504909,2005,10113
3504909,2006,10185
3504909,2007,10233
3504909,2008,10727
3504909,2009,10822
3504909,2010,10223
3504909,2011,10262
3504909,2012,10301
3504909,2013,10680
3504909,2014,10728
3504909,2015,10775
3504909,2016,10821
3504909,2017,10867
3504909,2018,10896
3504909,2019,10945
3504909,2020,10993
3505005,2001,2765
3505005,2002,2745
3505005,2003,2722
3505005,2004,2674
3505005,2005,2647
3505005,2006,2621
3505005,2007,2751
3505005,2008,2833
3505005,2009,2835
3505005,2010,3116
3505005,2011,3141
3505005,2012,3165
3505005,2013,3297
3505005,2014,3326
3505005,2015,3353
3505005,2016,3380
3505005,2017,3406
3505005,2018,3441
3505005,2019,3469
3505005,2020,3498
3505104,2001,5897
3505104,2002,5933
3505104,2003,5978
3505104,2004,6072
3505104,2005,6124
3505104,2006,6176
3505104,2007,6454
3505104,2008,6846
3505104,2009,6944
3505104,2010,6593
3505104,2011,6651
3505104,2012,6708
3505104,2013,6998
3505104,2014,7064
3505104,2015,7128
3505104,2016,7190
3505104,2017,7251
3505104,2018,7335
3505104,2019,7402
3505104,2020,7468
3505203,2001,28673
3505203,2002,28999
3505203,2003,29358
3505203,2004,30113
3505203,2005,30531
3505203,2006,30945
3505203,2007,30995
3505203,2008,32824
3505203,2009,33267
3505203,2010,31593
3505203,2011,31852
3505203,2012,32102
3505203,2013,33466
3505203,2014,33761
3505203,2015,34048
3505203,2016,34328
3505203,2017,34602
3505203,2018,34961
3505203,2019,35264
3505203,2020,35558
3505302,2001,35919
3505302,2002,36465
3505302,2003,36918
3505302,2004,37871
3505302,2005,38398
3505302,2006,38921
3505302,2007,35090
3505302,2008,36176
3505302,2009,36214
3505302,2010,35246
3505302,2011,35228
3505302,2012,35210
3505302,2013,36310
3505302,2014,36315
3505302,2015,36321
3505302,2016,36326
3505302,2017,36331
3505302,2018,36127
3505302,2019,36126
3505302,2020,36126
3505351,2001,4831
3505351,2002,4831
3505351,2003,4824
3505351,2004,4810
3505351,2005,4802
3505351,2006,4794
3505351,2007,5077
3505351,2008,5314
3505351,2009,5358
3505351,2010,5244
3505351,2011,5275
3505351,2012,5305
3505351,2013,5514
3505351,2014,5550
3505351,2015,5585
3505351,2016,5619
3505351,2017,5653
3505351,2018,5688
3505351,2019,5724
3505351,2020,5760
3505401,2001,8228
3505401,2002,8315
3505401,2003,8411
3505401,2004,8613
3505401,2005,8724
3505401,2006,8835
3505401,2007,7620
3505401,2008,7744
3505401,2009,7699
3505401,2010,7729
3505401,2011,7700
3505401,2012,7672
3505401,2013,7878
3505401,2014,7853
3505401,2015,7828
3505401,2016,7804
3505401,2017,7781
3505401,2018,7687
3505401,2019,7659
3505401,2020,7632
3505500,2001,104913
3505500,2002,105701
3505500,2003,106531
3505500,2004,108273
3505500,2005,109238
3505500,2006,110195
3505500,2007,107988
3505500,2008,112804
3505500,2009,113618
3505500,2010,112101
3505500,2011,112729
3505500,2012,113338
3505500,2013,117779
3505500,2014,118521
3505500,2015,119243
3505500,2016,119948
3505500,2017,120638
3505500,2018,121344
3505500,2019,122098
3505500,2020,122833
3505609,2001,24864
3505609,2002,25334
3505609,2003,25856
3505609,2004,26954
3505609,2005,27561
3505609,2006,28164
3505609,2007,25715
3505609,2008,26915
3505609,2009,27169
3505609,2010,28496
3505609,2011,28825
3505609,2012,29144
3505609,2013,30506
3505609,2014,30873
3505609,2015,31230
3505609,2016,31579
3505609,2017,31921
3505609,2018,32434
3505609,2019,32812
3505609,2020,33180
3505708,2001,217510
3505708,2002,224584
3505708,2003,232150
3505708,2004,248034
3505708,2005,256824
3505708,2006,265549
3505708,2007,252748
3505708,2008,264619
3505708,2009,270173
3505708,2010,240749
3505708,2011,243241
3505708,2012,245652
3505708,2013,256756
3505708,2014,259555
3505708,2015,262275
3505708,2016,264935
3505708,2017,267534
3505708,2018,271306
3505708,2019,274182
3505708,2020,276982
3505807,2001,20773
3505807,2002,20898
3505807,2003,21041
3505807,2004,21343
3505807,2005,21510
3505807,2006,21676
3505807,2007,20613
3505807,2008,21323
3505807,2009,21380
3505807,2010,20445
3505807,2011,20434
3505807,2012,20424
3505807,2013,21061
3505807,2014,21064
3505807,2015,21067
3505807,2016,21070
3505807,2017,21073
3505807,2018,20954
3505807,2019,20953
3505807,2020,20953
3505906,2001,51886
3505906,2002,52586
3505906,2003,53270
3505906,2004,54706
3505906,2005,55501
3505906,2006,56290
3505906,2007,53525
3505906,2008,56022
3505906,2009,56476
3505906,2010,56476
3505906,2011,56888
3505906,2012,57286
3505906,2013,59654
3505906,2014,60128
3505906,2015,60589
3505906,2016,61040
3505906,2017,61480
3505906,2018,62024
3505906,2019,62508
3505906,2020,62980
3506003,2001,322554
3506003,2002,327626
3506003,2003,332993
3506003,2004,344258
3506003,2005,350492
3506003,2006,356680
3506003,2007,347601
3506003,2008,355675
3506003,2009,359429
3506003,2010,343937
3506003,2011,346076
3506003,2012,348146
3506003,2013,362062
3506003,2014,364562
3506003,2015,366992
3506003,2016,369368
3506003,2017,371690
3506003,2018,374272
3506003,2019,376818
3506003,2020,379297
3506102,2001,75661
3506102,2002,76299
3506102,2003,76987
3506102,2004,78433
3506102,2005,79233
3506102,2006,80027
3506102,2007,74865
3506102,2008,77430
3506102,2009,77630
3506102,2010,75035
3506102,2011,75052
3506102,2012,75069
3506102,2013,77487
3506102,2014,77558
3506102,2015,77627
3506102,2016,77695
3506102,2017,77761
3506102,2018,77436
3506102,2019,77496
3506102,2020,77555
3506201,2001,2401
3506201,2002,2393
3506201,2003,2393
3506201,2004,2392
3506201,2005,2392
3506201,2006,2392
3506201,2007,2740
3506201,2008,2929
3506201,2009,2982
3506201,2010,2674
3506201,2011,2695
3506201,2012,2717
3506201,2013,2831
3506201,2014,2855
3506201,2015,2879
